PREMIO,AÑO,ACTOR,OBRA/MUSICAL
Tony Award® Best Actor in a Play,2015,Alex Sharp,The Curious Incident of the Dog in the Night-Time
Tony Award® Best Actor in a Play,2014,Bryan Cranston,All The Way
Tony Award® Best Actor in a Play,2013,Tracy Letts,Who's Afraid of Virginia Woolf?
Tony Award® Best Actor in a Play,2012,James Corden,"One Man, Two Guvnors"
Tony Award® Best Actor in a Play,2011,Mark Rylance,Jerusalem
Tony Award® Best Actor in a Play,2010,Denzel Washington,Fences
Tony Award® Best Actor in a Play,2009,Geoffrey Rush,Exit the King
Tony Award® Best Actor in a Play,2008,Mark Rylance,Boeing-Boeing
Tony Award® Best Actor in a Play,2007,Frank Langella,Frost/Nixon
Tony Award® Best Actor in a Play,2006,Richard Griffiths,The History Boys
Tony Award® Best Actor in a Play,2005,Bill Irwin,Who's Afraid of Virginia Woolf?
Tony Award® Best Actor in a Play,2004,Jefferson Mays,I Am My Own Wife
Tony Award® Best Actor in a Play,2003,Brian Dennehy,Long Day's Journey Into Night
Tony Award® Best Actor in a Play,2002,Alan Bates,Fortune's Fool
Tony Award® Best Actor in a Play,2001,Richard Easton,The Invention of Love
Tony Award® Best Actor in a Play,2000,Stephen Dillane,The Real Thing
Tony Award® Best Actor in a Play,1999,Brian Dennehy,Death of a Salesman
Tony Award® Best Actor in a Play,1998,Anthony LaPaglia,A View From the Bridge
Tony Award® Best Actor in a Play,1997,Christopher Plummer,Barrymore
Tony Award® Best Actor in a Play,1996,George Grizzard,A Delicate Balance
Tony Award® Best Actor in a Play,1995,Ralph Fiennes,Hamlet
Tony Award® Best Actor in a Play,1994,Stephen Spinella,Angels in America: Perestroika
Tony Award® Best Actor in a Play,1993,Ron Leibman,Angels in America: Millennium Approaches
Tony Award® Best Actor in a Play,1992,Judd Hirsch,Conversations With My Father
Tony Award® Best Actor in a Play,1991,Nigel Hawthorne,Shadowlands
Tony Award® Best Actor in a Play,1990,Robert Morse,Tru
Tony Award® Best Actor in a Play,1989,Philip Bosco,Lend Me a Tenor
Tony Award® Best Actor in a Play,1988,Ron Silver,Speed-the-Plow
Tony Award® Best Actor in a Play,1987,James Earl Jones,Fences
Tony Award® Best Actor in a Play,1986,Judd Hirsch,I'm Not Rappaport
Tony Award® Best Actor in a Play,1985,Derek Jacobi,Much Ado About Nothing
Tony Award® Best Actor in a Play,1984,Jeremy Irons,The Real Thing
Tony Award® Best Actor in a Play,1983,Harvey Fierstein,Torch Song Trilogy
Tony Award® Best Actor in a Play,1982,Roger Rees,The Life and Adventures of Nicholas Nickleby
,,,
Tony Award® Best Actor in a Musical,2015,Michael Cerveris,Fun Home
Tony Award® Best Actor in a Musical,2014,Neil Patrick Harris,Hedwig and the Angry Inch
Tony Award® Best Actor in a Musical,2013,Billy Porter,Kinky Boots
Tony Award® Best Actor in a Musical,2012,Steve Kazee,Once
Tony Award® Best Actor in a Musical,2011,Norbert Leo Butz,Catch Me If You Can
Tony Award® Best Actor in a Musical,2010,Douglas Hodge,La Cage aux Folles
Tony Award® Best Actor in a Musical,2009,David Alvarez,Billy Elliot: The Musical
Tony Award® Best Actor in a Musical,2008,Paulo Szot,South Pacific
Tony Award® Best Actor in a Musical,2007,David Hyde Pierce,Curtains
Tony Award® Best Actor in a Musical,2006,John Lloyd Young,Jersey Boys
Tony Award® Best Actor in a Musical,2005,Norbert Leo Butz,Dirty Rotten Scoundrels
Tony Award® Best Actor in a Musical,2004,Hugh Jackman,The Boy From Oz
Tony Award® Best Actor in a Musical,2003,Harvey Fierstein,Hairspray
Tony Award® Best Actor in a Musical,2002,John Lithgow,Sweet Smell of Success
Tony Award® Best Actor in a Musical,2001,Nathan Lane,The Producers
Tony Award® Best Actor in a Musical,2000,Brian Stokes Mitchell,"Kiss Me, Kate"
Tony Award® Best Actor in a Musical,1999,Martin Short,Little Me
Tony Award® Best Actor in a Musical,1998,Alan Cumming,Cabaret
Tony Award® Best Actor in a Musical,1997,James Naughton,Chicago
Tony Award® Best Actor in a Musical,1996,Nathan Lane,A Funny Thing Happened on the Way to the Forum
Tony Award® Best Actor in a Musical,1995,Matthew Broderick,How to Succeed in Business Without Really Trying
Tony Award® Best Actor in a Musical,1994,Boyd Gaines,She Loves Me
Tony Award® Best Actor in a Musical,1993,Brent Carver,Kiss of the Spider Woman
Tony Award® Best Actor in a Musical,1992,Gregory Hines,Jelly's Last Jam
Tony Award® Best Actor in a Musical,1991,Jonathan Pryce,Miss Saigon
Tony Award® Best Actor in a Musical,1990,James Naughton,City of Angels
Tony Award® Best Actor in a Musical,1989,Jason Alexander,Jerome Robbins' Broadway
Tony Award® Best Actor in a Musical,1988,Michael Crawford,The Phantom of the Opera
Tony Award® Best Actor in a Musical,1987,Robert Lindsay,Me and My Girl
Tony Award® Best Actor in a Musical,1986,George Rose,The Mystery of Edwin Drood
Tony Award® Best Actor in a Musical,1985,,
Tony Award® Best Actor in a Musical,1984,George Hearn,La Cage aux Folles
Tony Award® Best Actor in a Musical,1983,Tommy Tune,My One And Only
Tony Award® Best Actor in a Musical,1982,Ben Harney,Dreamgirls
